Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Chamomilla Recutita Leaf Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Chamomilla Recutita.
Mentha Piperita Juice,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Mentha Piperita.
Methyl Lactate,Viscosity Controller,0,1,All,None,A standard cosmetic viscosity controller used in skincare formulations.
Propyl Crosspolymer,Solvent,2,0,All,Acne,A standard cosmetic solvent used in skincare formulations.
Sorbitan Oxide,Humectant,1,0,Dry,Acne,A standard cosmetic humectant used in skincare formulations.
Lavandula Angustifolia Essential Oil,Soothing,3,2,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Lavandula Angustifolia.
Polyglyceryl-3 Crosspolymer,Humectant,1,0,All,Dry,A standard cosmetic humectant used in skincare formulations.
Hydrolyzed Gluconate,Surfactant,1,3,Dry,Dry,A standard cosmetic surfactant used in skincare formulations.
Stearyl Hydroxide,Chelating,2,1,Aging,Acne,A standard cosmetic chelating used in skincare formulations.
Eucalyptus Globulus Bark Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Eucalyptus Globulus.
Rubus Idaeus Fruit Extract,Emollient,0,0,Oily,None,Natural plant-derived emollient from Rubus Idaeus.
Chamomilla Recutita Ferment Filtrate,Humectant,0,0,Dry,None,Natural plant-derived humectant from Chamomilla Recutita.
Sorbitan Palmitate,Solvent,0,0,Acne,Acne,A standard cosmetic solvent used in skincare formulations.
PEG-8 Sulfate,Emollient,5,0,Sensitive,Oily,A standard cosmetic emollient used in skincare formulations.
Isobutyl Benzoate,Thickener,0,0,Sensitive,Dry,A standard cosmetic thickener used in skincare formulations.
Magnesium Phosphate,Humectant,2,1,All,None,A standard cosmetic humectant used in skincare formulations.
Aloe Barbadensis Wax,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Aloe Barbadensis.
Stearyl Ceramide AP,Viscosity Controller,0,0,All,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Titanium Copolymer,Viscosity Controller,2,1,Aging,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Lauroyl Myristate,Solvent,0,1,Sensitive,Dry,A standard cosmetic solvent used in skincare formulations.
Lauroyl Hyaluronate,Buffering,0,1,Sensitive,None,A standard cosmetic buffering used in skincare formulations.
PPG-10 Silk,Soothing,2,1,Aging,Sensitive,A standard cosmetic soothing used in skincare formulations.
Glyceryl Panthenol,Buffering,0,1,Dry,Sensitive,A standard cosmetic buffering used in skincare formulations.
PPG-10 Oat Protein,Soothing,1,0,Oily,Acne,A standard cosmetic soothing used in skincare formulations.
Polysorbate 20 Linoleate,Chelating,1,0,Acne,Acne,A standard cosmetic chelating used in skincare formulations.
Sodium Silk,Astringent,2,1,Sensitive,Oily,A standard cosmetic astringent used in skincare formulations.
Zea Mays Bark Extract,Humectant,0,0,All,None,Natural plant-derived humectant from Zea Mays.
Behenyl Collagen,Soothing,1,1,Aging,Acne,A standard cosmetic soothing used in skincare formulations.
Polysorbate 20 Keratin,Emulsifier,0,1,Aging,None,A standard cosmetic emulsifier used in skincare formulations.
Cocamidopropyl Salicylate,Solvent,2,0,Sensitive,Acne,A standard cosmetic solvent used in skincare formulations.
Panax Ginseng Lysate,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Panax Ginseng.
PEG-40 Retinol,Solvent,0,1,Aging,Sensitive,A standard cosmetic solvent used in skincare formulations.
Behenyl Hydroxide,Surfactant,0,1,Sensitive,Acne,A standard cosmetic surfactant used in skincare formulations.
Sorbitan Oleate,Exfoliant,2,0,Sensitive,Oily,A standard cosmetic exfoliant used in skincare formulations.
Glyceryl Acetate,Exfoliant,0,2,Dry,None,A standard cosmetic exfoliant used in skincare formulations.
Zinc Oat Protein,Buffering,1,1,Aging,Oily,A standard cosmetic buffering used in skincare formulations.
PPG-10 Stearate,Surfactant,1,0,Acne,Oily,A standard cosmetic surfactant used in skincare formulations.
Potassium Silk,Preservative,2,3,Aging,None,A standard cosmetic preservative used in skincare formulations.
Myristyl Myristate,Viscosity Controller,1,0,Dry,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Lauroyl Stearate,Preservative,2,5,Acne,None,A standard cosmetic preservative used in skincare formulations.
Myristyl Acetate,Exfoliant,1,5,Acne,Oily,A standard cosmetic exfoliant used in skincare formulations.
PEG-100 Collagen,Buffering,0,0,Dry,None,A standard cosmetic buffering used in skincare formulations.
Polyglyceryl-3 Niacinamide,Emollient,1,1,Oily,None,A standard cosmetic emollient used in skincare formulations.
Acetylated Myristate,Buffering,0,0,Oily,Oily,A standard cosmetic buffering used in skincare formulations.
Avena Sativa Bark Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Avena Sativa.
PEG-8 Panthenol,Buffering,1,0,Aging,Dry,A standard cosmetic buffering used in skincare formulations.
Sodium Palmitate,Surfactant,2,0,Oily,Acne,A standard cosmetic surfactant used in skincare formulations.
Titanium Carbonate,Buffering,0,0,Oily,Oily,A standard cosmetic buffering used in skincare formulations.
Glycyrrhiza Glabra Root Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Glycyrrhiza Glabra.
Simmondsia Chinensis Root Extract,Humectant,0,0,Aging,None,Natural plant-derived humectant from Simmondsia Chinensis.
Polyglyceryl-3 Tocopherol,Thickener,1,0,Sensitive,None,A standard cosmetic thickener used in skincare formulations.
Magnesium Citrate,Soothing,2,0,Aging,Dry,A standard cosmetic soothing used in skincare formulations.
Cetearyl Copolymer,Humectant,2,0,Dry,Sensitive,A standard cosmetic humectant used in skincare formulations.
PEG-20 Niacinamide,Astringent,0,0,All,None,A standard cosmetic astringent used in skincare formulations.
Mentha Piperita Seed Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Mentha Piperita.
PPG-15 Phosphate,Emulsifier,1,1,All,Dry,A standard cosmetic emulsifier used in skincare formulations.
Ginkgo Biloba Fruit Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Ginkgo Biloba.
Stearyl Soy Protein,Astringent,0,0,Oily,Dry,A standard cosmetic astringent used in skincare formulations.
Cocos Nucifera Callus Culture Extract,Humectant,0,0,All,None,Natural plant-derived humectant from Cocos Nucifera.
Caprylic Benzoate,Thickener,3,1,Acne,Dry,A standard cosmetic thickener used in skincare formulations.
Capric Peptide,Solvent,0,1,Oily,None,A standard cosmetic solvent used in skincare formulations.
Vitis Vinifera Essential Oil,Antioxidant,4,1,Sensitive,Sensitive,Natural plant-derived antioxidant from Vitis Vinifera.
Polysorbate 60 Salicylate,Exfoliant,1,3,Sensitive,Acne,A standard cosmetic exfoliant used in skincare formulations.
PPG-10 Carbonate,Astringent,2,1,All,None,A standard cosmetic astringent used in skincare formulations.
Palmitoyl Palmitate,Antioxidant,2,0,Sensitive,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Polysorbate 20 Silk,Preservative,2,1,Aging,Sensitive,A standard cosmetic preservative used in skincare formulations.
PEG-100 Sulfate,Soothing,2,1,Aging,Oily,A standard cosmetic soothing used in skincare formulations.
Myristoyl Sorbate,Buffering,1,1,Sensitive,Acne,A standard cosmetic buffering used in skincare formulations.
Olea Europaea Oil,Soothing,1,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Olea Europaea.
Zinc Soy Protein,Viscosity Controller,1,0,Aging,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Palmitoyl Sulfate,Viscosity Controller,0,0,Oily,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Vitis Vinifera Ferment Filtrate,Emollient,0,0,All,None,Natural plant-derived emollient from Vitis Vinifera.
Myristoyl Panthenol,Exfoliant,2,1,Oily,None,A standard cosmetic exfoliant used in skincare formulations.
Sodium Carbonate,Emulsifier,1,1,Oily,Oily,A standard cosmetic emulsifier used in skincare formulations.
Lauroyl Sorbate,Surfactant,0,3,Aging,Acne,A standard cosmetic surfactant used in skincare formulations.
Panax Ginseng Oil,Antioxidant,3,0,All,None,Natural plant-derived antioxidant from Panax Ginseng.
Aluminum Ceramide AP,Emulsifier,1,0,Acne,Oily,A standard cosmetic emulsifier used in skincare formulations.
Iron Ceramide AP,Buffering,0,1,Dry,Sensitive,A standard cosmetic buffering used in skincare formulations.
Cetearyl Benzoate,Solvent,1,0,Oily,None,A standard cosmetic solvent used in skincare formulations.
Magnesium Sulfate,Thickener,2,1,Aging,None,A standard cosmetic thickener used in skincare formulations.
Lauroyl Ceramide NP,Soothing,0,0,Sensitive,Dry,A standard cosmetic soothing used in skincare formulations.
Aluminum Chloride,Surfactant,1,3,Acne,Oily,A standard cosmetic surfactant used in skincare formulations.
Rosa Damascena Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Rosa Damascena.
PPG-15 Ceramide NP,Chelating,1,1,Acne,Dry,A standard cosmetic chelating used in skincare formulations.
Lauryl Peptide,Exfoliant,0,0,Dry,Dry,A standard cosmetic exfoliant used in skincare formulations.
Citrus Limon Lysate,Humectant,0,0,All,None,Natural plant-derived humectant from Citrus Limon.
Butyl Retinol,Humectant,1,0,Aging,Sensitive,A standard cosmetic humectant used in skincare formulations.
Copper Ceramide NP,Viscosity Controller,0,0,Aging,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Sodium Copolymer,Astringent,2,0,Oily,Sensitive,A standard cosmetic astringent used in skincare formulations.
Melaleuca Alternifolia Bark Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Melaleuca Alternifolia.
Acetylated Crosspolymer,Soothing,2,1,Dry,Sensitive,A standard cosmetic soothing used in skincare formulations.
Hydrogenated Ceramide AP,Astringent,0,1,All,None,A standard cosmetic astringent used in skincare formulations.
PEG-100 Acetate,Emollient,3,1,Oily,Acne,A standard cosmetic emollient used in skincare formulations.
PEG-8 Soy Protein,Emulsifier,0,0,Acne,Dry,A standard cosmetic emulsifier used in skincare formulations.
Sodium Citrate,Astringent,0,0,Oily,Oily,A standard cosmetic astringent used in skincare formulations.
PPG-15 Hydroxide,Emulsifier,2,0,All,Dry,A standard cosmetic emulsifier used in skincare formulations.
Aluminum Ceramide NP,Astringent,1,1,Dry,Oily,A standard cosmetic astringent used in skincare formulations.
Hydrogenated Laurate,Viscosity Controller,1,1,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Behenyl Dioxide,Humectant,2,1,Dry,Oily,A standard cosmetic humectant used in skincare formulations.
Magnesium Lactate,Surfactant,1,3,Dry,Dry,A standard cosmetic surfactant used in skincare formulations.
Eucalyptus Globulus Lysate,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Eucalyptus Globulus.
Camellia Sinensis Flower Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Camellia Sinensis.
Glyceryl Sorbate,Buffering,2,1,Dry,Acne,A standard cosmetic buffering used in skincare formulations.
Potassium Retinol,Soothing,1,1,Sensitive,Dry,A standard cosmetic soothing used in skincare formulations.
Panax Ginseng Seed Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Panax Ginseng.
Hydrolyzed Soy Protein,Emollient,5,0,Sensitive,Dry,A standard cosmetic emollient used in skincare formulations.
Argania Spinosa Lysate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Argania Spinosa.
Ethyl Niacinamide,Preservative,0,3,Dry,None,A standard cosmetic preservative used in skincare formulations.
Isobutyl Hydroxide,Astringent,2,1,Aging,Acne,A standard cosmetic astringent used in skincare formulations.
Caprylic Oxide,Antioxidant,2,0,Dry,Dry,A standard cosmetic antioxidant used in skincare formulations.
Myristoyl Laurate,Emulsifier,0,0,Aging,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Lauryl Oleate,Emollient,2,0,Sensitive,Oily,A standard cosmetic emollient used in skincare formulations.
Camellia Sinensis Oil,Humectant,2,0,Aging,None,Natural plant-derived humectant from Camellia Sinensis.
Capric Gluconate,Antioxidant,0,0,All,Acne,A standard cosmetic antioxidant used in skincare formulations.
PEG-100 Sorbate,Emollient,1,1,Dry,None,A standard cosmetic emollient used in skincare formulations.
Capric Acetate,Antioxidant,2,1,All,Dry,A standard cosmetic antioxidant used in skincare formulations.
Polysorbate 80 Oat Protein,Preservative,2,2,Oily,Sensitive,A standard cosmetic preservative used in skincare formulations.
Polysorbate 20 Myristate,Astringent,2,0,Aging,Oily,A standard cosmetic astringent used in skincare formulations.
Polysorbate 20 Tocopherol,Thickener,4,1,Aging,Sensitive,A standard cosmetic thickener used in skincare formulations.
Helianthus Annuus Oil,Emollient,1,0,All,None,Natural plant-derived emollient from Helianthus Annuus.
Polyglyceryl-3 Collagen,Antioxidant,2,1,Sensitive,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Panthenol,Chelating,0,1,Dry,Dry,A standard cosmetic chelating used in skincare formulations.
Methyl Oleate,Emollient,5,1,Dry,Acne,A standard cosmetic emollient used in skincare formulations.
Mentha Piperita Lysate,Emollient,0,0,Dry,None,Natural plant-derived emollient from Mentha Piperita.
Cetyl Chloride,Emulsifier,0,0,Dry,Dry,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 60 Ceramide EOP,Soothing,1,1,Sensitive,Acne,A standard cosmetic soothing used in skincare formulations.
Cocoyl Crosspolymer,Antioxidant,2,0,Oily,Acne,A standard cosmetic antioxidant used in skincare formulations.
Rosmarinus Officinalis Wax,Emollient,0,0,Oily,None,Natural plant-derived emollient from Rosmarinus Officinalis.
Behenyl Keratin,Solvent,1,0,All,Acne,A standard cosmetic solvent used in skincare formulations.
Caprylic Dioxide,Astringent,2,0,Acne,Oily,A standard cosmetic astringent used in skincare formulations.
PPG-10 Chloride,Emulsifier,2,0,Sensitive,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Magnesium Peptide,Exfoliant,0,4,Sensitive,None,A standard cosmetic exfoliant used in skincare formulations.
Oryza Sativa Bark Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Oryza Sativa.
Helianthus Annuus Leaf Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Helianthus Annuus.
PEG-20 Hyaluronate,Astringent,0,1,Sensitive,None,A standard cosmetic astringent used in skincare formulations.
Isopropyl Ceramide NP,Chelating,2,1,All,None,A standard cosmetic chelating used in skincare formulations.
Copper Tocopherol,Antioxidant,0,0,Aging,None,A standard cosmetic antioxidant used in skincare formulations.
Myristoyl Silk,Preservative,1,4,Acne,None,A standard cosmetic preservative used in skincare formulations.
Cocoyl Hyaluronate,Astringent,1,1,Oily,Dry,A standard cosmetic astringent used in skincare formulations.
Cocoyl Sorbate,Viscosity Controller,2,0,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Acetylated Keratin,Exfoliant,1,1,Acne,Acne,A standard cosmetic exfoliant used in skincare formulations.
Propyl Palmitate,Surfactant,1,5,Aging,Oily,A standard cosmetic surfactant used in skincare formulations.
Caprylic Salicylate,Emollient,2,1,All,Acne,A standard cosmetic emollient used in skincare formulations.
Myristoyl Niacinamide,Astringent,2,0,Aging,Sensitive,A standard cosmetic astringent used in skincare formulations.
Cetyl Collagen,Buffering,1,0,Oily,Sensitive,A standard cosmetic buffering used in skincare formulations.
Avena Sativa Fruit Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Avena Sativa.
PPG-15 Ascorbate,Emulsifier,0,0,Acne,Acne,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 20 Chloride,Soothing,0,0,Dry,Dry,A standard cosmetic soothing used in skincare formulations.
Lauryl Dioxide,Thickener,3,1,All,Sensitive,A standard cosmetic thickener used in skincare formulations.
Argania Spinosa Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Argania Spinosa.
Cetyl Elastin,Antioxidant,1,1,Aging,Oily,A standard cosmetic antioxidant used in skincare formulations.
Isopropyl Phosphate,Buffering,0,1,All,Dry,A standard cosmetic buffering used in skincare formulations.
Hydrolyzed Collagen,Soothing,2,1,Aging,Acne,A standard cosmetic soothing used in skincare formulations.
Polysorbate 60 Linoleate,Preservative,2,2,Dry,Dry,A standard cosmetic preservative used in skincare formulations.
Lauroyl Ascorbate,Emulsifier,0,0,All,Dry,A standard cosmetic emulsifier used in skincare formulations.
Macadamia Ternifolia Bark Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Macadamia Ternifolia.
PEG-8 Ceramide NP,Antioxidant,2,0,Oily,Oily,A standard cosmetic antioxidant used in skincare formulations.
Myristoyl Soy Protein,Astringent,1,0,Aging,Acne,A standard cosmetic astringent used in skincare formulations.
Hydrolyzed Peptide,Buffering,0,0,Dry,Sensitive,A standard cosmetic buffering used in skincare formulations.
Polysorbate 80 Copolymer,Surfactant,0,0,Oily,Oily,A standard cosmetic surfactant used in skincare formulations.
Isopropyl Acetate,Exfoliant,2,0,Oily,None,A standard cosmetic exfoliant used in skincare formulations.
Calcium Lactate,Solvent,0,0,All,Sensitive,A standard cosmetic solvent used in skincare formulations.
Butyl Sulfate,Humectant,0,1,Oily,Sensitive,A standard cosmetic humectant used in skincare formulations.
PEG-8 Ceramide EOP,Surfactant,0,4,Dry,Dry,A standard cosmetic surfactant used in skincare formulations.
PEG-100 Carbonate,Humectant,0,0,All,Dry,A standard cosmetic humectant used in skincare formulations.
Cocoyl Elastin,Emollient,4,0,Aging,None,A standard cosmetic emollient used in skincare formulations.
Olea Europaea Lysate,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Olea Europaea.
Hydrogenated Dioxide,Chelating,0,1,Sensitive,None,A standard cosmetic chelating used in skincare formulations.
Polysorbate 80 Niacinamide,Surfactant,1,1,Oily,Oily,A standard cosmetic surfactant used in skincare formulations.
Rubus Idaeus Butter,Soothing,2,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Rubus Idaeus.
Sorbitan Wheat Protein,Solvent,2,1,Dry,Acne,A standard cosmetic solvent used in skincare formulations.
Magnesium Elastin,Soothing,1,1,Sensitive,Oily,A standard cosmetic soothing used in skincare formulations.
Titanium Crosspolymer,Chelating,0,0,All,Acne,A standard cosmetic chelating used in skincare formulations.
Citrus Limon Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Citrus Limon.
Hydrogenated Collagen,Solvent,0,0,Oily,Sensitive,A standard cosmetic solvent used in skincare formulations.
PPG-15 Peptide,Preservative,0,5,Dry,Oily,A standard cosmetic preservative used in skincare formulations.
Cetyl Citrate,Emulsifier,2,0,Oily,Acne,A standard cosmetic emulsifier used in skincare formulations.
Punica Granatum Seed Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Punica Granatum.
Mentha Piperita Ferment Filtrate,Emollient,0,0,Dry,None,Natural plant-derived emollient from Mentha Piperita.
Calcium Wheat Protein,Preservative,0,1,Sensitive,None,A standard cosmetic preservative used in skincare formulations.
Ginkgo Biloba Flower Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Ginkgo Biloba.
Methyl Niacinamide,Emollient,1,0,Acne,Oily,A standard cosmetic emollient used in skincare formulations.
Aluminum Sorbate,Soothing,1,0,Dry,Dry,A standard cosmetic soothing used in skincare formulations.
Butyl Tocopherol,Buffering,2,0,Dry,Acne,A standard cosmetic buffering used in skincare formulations.
Cocoyl Ceramide EOP,Astringent,2,1,All,Dry,A standard cosmetic astringent used in skincare formulations.
Propyl Copolymer,Thickener,4,1,Acne,Oily,A standard cosmetic thickener used in skincare formulations.
Calendula Officinalis Root Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Calendula Officinalis.
Sodium Benzoate,Exfoliant,0,2,Dry,Acne,A standard cosmetic exfoliant used in skincare formulations.
Lauroyl Lactate,Viscosity Controller,0,1,Dry,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Eucalyptus Globulus Juice,Emollient,0,0,Aging,None,Natural plant-derived emollient from Eucalyptus Globulus.
Polysorbate 60 Carbonate,Thickener,4,0,Sensitive,Acne,A standard cosmetic thickener used in skincare formulations.
Polysorbate 20 Oxide,Buffering,2,1,All,Oily,A standard cosmetic buffering used in skincare formulations.
Butyrospermum Parkii Fruit Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Butyrospermum Parkii.
Palmitoyl Citrate,Humectant,2,1,Dry,Acne,A standard cosmetic humectant used in skincare formulations.
Iron Crosspolymer,Astringent,0,1,Dry,Oily,A standard cosmetic astringent used in skincare formulations.
Lauryl Linoleate,Exfoliant,1,3,Dry,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Ethyl Wheat Protein,Thickener,0,1,Acne,Dry,A standard cosmetic thickener used in skincare formulations.
Lauroyl Retinol,Soothing,1,1,Acne,Oily,A standard cosmetic soothing used in skincare formulations.
Lauroyl Hydroxide,Viscosity Controller,1,0,Aging,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Ethyl Acetate,Chelating,0,1,All,Dry,A standard cosmetic chelating used in skincare formulations.
Magnesium Crosspolymer,Surfactant,1,4,Aging,None,A standard cosmetic surfactant used in skincare formulations.
